iter	Passed	Remaining
0	149	149001
1	159	79691
2	170	56678
3	181	45228
4	192	38305
5	202	33606
6	213	30242
7	224	27784
8	238	26222
9	249	24682
10	259	23327
11	270	22280
12	282	21440
13	294	20732
14	306	20099
15	319	19667
16	335	19398
17	346	18901
18	359	18541
19	370	18161
20	383	17870
21	393	17514
22	404	17185
23	415	16902
24	426	16639
25	437	16386
26	448	16173
27	461	16018
28	474	15881
29	488	15784
30	498	15592
31	510	15428
32	519	15231
33	531	15090
34	543	14972
35	554	14856
36	566	14733
37	580	14685
38	594	14647
39	607	14569
40	620	14522
41	637	14551
42	650	14467
43	663	14409
44	678	14405
45	692	14357
46	705	14303
47	718	14249
48	730	14181
49	742	14104
50	753	14020
51	762	13897
52	774	13830
53	788	13805
54	797	13702
55	806	13597
56	826	13666
57	846	13754
58	863	13778
59	884	13858
60	902	13899
61	927	14032
62	952	14173
63	970	14191
64	988	14216
65	1014	14363
66	1031	14358
67	1052	14420
68	1066	14395
69	1081	14370
70	1097	14354
71	1125	14503
72	1140	14483
73	1155	14454
74	1171	14451
75	1188	14445
76	1223	14662
77	1258	14877
78	1272	14835
79	1278	14700
80	1284	14577
81	1291	14462
82	1302	14390
83	1325	14454
84	1343	14461
85	1372	14587
86	1401	14711
87	1421	14729
88	1434	14678
89	1445	14612
90	1455	14539
91	1471	14523
92	1486	14500
93	1498	14442
94	1509	14376
95	1522	14335
96	1537	14312
97	1548	14248
98	1558	14182
99	1567	14110
100	1581	14074
101	1592	14022
102	1603	13962
103	1612	13896
104	1622	13826
105	1632	13771
106	1644	13725
107	1655	13675
108	1665	13615
109	1674	13546
110	1682	13479
111	1695	13440
112	1704	13381
113	1711	13300
114	1718	13228
115	1741	13274
116	1763	13309
117	1782	13325
118	1795	13289
119	1812	13289
120	1839	13362
121	1861	13393
122	1880	13411
123	1901	13431
124	1913	13393
125	1925	13357
126	1937	13317
127	1947	13266
128	1958	13225
129	1972	13197
130	1992	13214
131	2009	13213
132	2023	13190
133	2036	13161
134	2046	13114
135	2056	13063
136	2067	13021
137	2078	12983
138	2090	12948
139	2103	12921
140	2116	12891
141	2127	12855
142	2140	12826
143	2152	12797
144	2164	12764
145	2171	12700
146	2179	12644
147	2188	12597
148	2196	12547
149	2203	12486
150	2210	12426
151	2226	12420
152	2242	12416
153	2258	12404
154	2272	12389
155	2288	12380
156	2301	12356
157	2314	12333
158	2328	12316
159	2340	12288
160	2352	12258
161	2366	12240
162	2380	12223
163	2394	12207
164	2407	12183
165	2420	12163
166	2436	12151
167	2450	12135
168	2463	12112
169	2476	12093
170	2492	12084
171	2511	12092
172	2538	12135
173	2559	12151
174	2578	12157
175	2595	12151
176	2610	12139
177	2627	12131
178	2642	12120
179	2659	12114
180	2673	12099
181	2683	12059
182	2689	12009
183	2696	11958
184	2703	11909
185	2717	11891
186	2733	11883
187	2750	11881
188	2775	11909
189	2789	11893
190	2804	11877
191	2817	11857
192	2837	11864
193	2852	11850
194	2867	11838
195	2911	11941
196	2930	11943
197	2953	11964
198	2970	11958
199	2986	11946
200	3000	11928
201	3014	11910
202	3028	11890
203	3045	11885
204	3064	11884
205	3084	11888
206	3101	11880
207	3117	11871
208	3131	11852
209	3140	11814
210	3149	11778
211	3158	11739
212	3166	11699
213	3176	11667
214	3199	11681
215	3227	11714
216	3251	11731
217	3270	11732
218	3285	11715
219	3298	11695
220	3317	11692
221	3337	11697
222	3353	11684
223	3368	11670
224	3384	11658
225	3397	11636
226	3413	11622
227	3426	11600
228	3437	11574
229	3450	11552
230	3463	11529
231	3475	11506
232	3488	11482
233	3501	11462
234	3509	11424
235	3521	11398
236	3534	11377
237	3546	11355
238	3558	11331
239	3570	11306
240	3583	11286
241	3595	11260
242	3607	11238
243	3619	11214
244	3631	11189
245	3642	11165
246	3655	11143
247	3666	11118
248	3679	11096
249	3689	11068
250	3702	11048
251	3712	11019
252	3721	10988
253	3731	10959
254	3740	10927
255	3749	10896
256	3758	10866
257	3768	10837
258	3777	10808
259	3786	10777
260	3796	10748
261	3804	10717
262	3813	10687
263	3822	10657
264	3832	10629
265	3841	10599
266	3851	10572
267	3860	10544
268	3869	10516
269	3879	10488
270	3889	10462
271	3898	10435
272	3909	10409
